,source,url,text
0,b'The Guardian',b'http://www.theguardian.com/us-news/2019/jan/04/pelosi-remains-defiant-on-wall-funding-as-trump-seeks-fresh-talks',"b'As a partial US government shutdown hit the two-week mark on Friday, Donald Trump once again invited congressional leaders to meet him at the White House, amid an impasse over his demands for taxpayers\' money for a border wall, and Democrats taking control of the House of Representative.\n\nThe president has invited leaders from both parties back to the White House just two days after a meeting on border security in the situation room there did not resolve matters, and a day after Nancy Pelosi became speaker of the House and Democrats passed legislation to reopen the government.\n\nThe meeting is scheduled for 11.30am in Washington.\n\nAbout 800,000 federal workers have been affected by the 22 December closure of about one-quarter of the federal government as Trump withheld his support for new funding until he secures $5bn to build his long-promised but unachieved wall along the US-Mexico border.\n\nSuch a wall, he has argued, is needed to stem the flow of illegal immigrants and drugs over the southwestern border. When he ran for president in 2016, he vowed Mexico would pay for the wall, which it has refused to do.\n\nOn Thursday, Trump tried to keep the pressure on Democrats, even as they gained significant new power with their takeover of the House of Representatives at the start of a new Congress.\n\n""Build the Wall,"" the president demanded on Twitter. But in remarks at a surprise White House press briefing, Trump appeared to give himself negotiating space when he said: ""You can call it a barrier. You can call it whatever you want. But essentially, we need protection in our country.""\n\nIn a meeting at the White House in December, Trump said he would be ""proud"" to take responsibility for causing the government shutdown, though has since tried to blame it on Democrats.\n\nPelosi was adamant, however.\n\n""We\'re not doing a wall,"" she said late on Thursday. ""It has nothing to do with politics. It has to do with a wall is an immorality between countries. It\'s an old way of thinking. It isn\'t cost effective.""\n\nAsked if she would give Trump $1 for a wall to reopen the government, Pelosi said: ""One dollar? Yeah, one dollar. The fact is a wall is an immorality. It\'s not who we are as a nation.""\n\nLate on Thursday, the House passed two Democratic bills to immediately reopen government agencies for varying lengths of time, despite a White House veto threat. The Senate majority leader, Mitch McConnell, a Republican, will not support the legislation and has pledged not to pass anything the president will not sign.\n\nBut McConnell now faces increasing pressure from fellow Republicans.\n\n""We should pass a continuing resolution to get the government back open. The Senate has done it last Congress, we should do it again today,"" the Republican senator Cory Gardner told the Hill on Thursday. His colleague Susan Collins also called for the Senate to pass the funding bills.\n\nVice-President Mike Pence later suggested on Fox News that the White House could work with Democrats on so-called Dreamer immigrants who were brought to the United States unlawfully as children - an idea Trump had rejected on Wednesday. ""It\'s being talked about,"" Pence said.'"
1,b'The Guardian',b'http://www.theguardian.com/us-news/2019/jan/04/shutdown-border-wall-trump-pelosi-analysis',"b'There are two chants that everyone remembers from Donald Trump\'s campaign rallies. One is ""Lock her up!"", aimed at Hillary Clinton, a demand not likely to be met unless America becomes a banana republic. The other is ""build that wall!""\n\nIt is now crunch time for this central, defining promise of the Trump candidacy and ""make America great again"" movement. The US president says he will not support a bill to fully fund the government until he secures $5.6bn for a wall on the US-Mexico border.\n\nSo quarter of the US government has been shut down for two weeks, leaving hundreds of thousands of workers without pay. After Friday\'s talks with congressional Democrats at the White House, there is still no end in sight.\n\nIndeed, no one should assume Trump was bluffing when he said he was willing to keep the government closed for months or even years, or that he would consider using emergency powers - an ominous phrase in any democracy under strain - to bypass Congress and get the wall built.\n\nIt has come to this because there is no political incentive for Trump or his nemesis, the newly re-elected House speaker Nancy Pelosi, to blink first. Both are under intense pressure from their respective bases to hold firm and resist concessions. The system has delivered divided government with no common ground.\n\nOn Thursday, Vice-President Mike Pence told Fox News: ""Bottom line, if there\'s no wall, there\'s no deal."" Pelosi, meanwhile, told reporters on Capitol Hill: ""We\'re not doing a wall. Does anybody have any doubt that we are not doing a wall?""\n\nA foreign visitor to the US might not immediately spot the signs of malaise. In grey and chilly Washington, traffic still rolls, trains still run, the shows goes on. The current shutdown has not affected three quarters of the government, including the Pentagon and the postal service, which have secure funding.\n\nBut there is a gradual sense of things grinding to a standstill, small but telling harbingers of imperial decline. The Smithsonian Institution\'s 17 museums and zoo are closed (although the animals are still getting fed). Couples in Washington cannot get marriage licences.\n\nNationally, 800,000 employees from the departments of homeland security and transportation and other agencies have been furloughed or are working without pay. Even as China lands a spacecraft on the far side of the moon, most employees at Nasa are on furlough, with the small percentage who remain working without pay.\n\nWith bitter irony given the issue at hand, the shutdown has reached America\'s 62 immigration courts. Hundreds of judges are on furlough, and only cases of immigrants in detention are being heard.\n\nThe National Park Service is operating with a skeleton staff. Some parks may be accessible, others closed completely. The National Park Service is providing no visitor services such as toilets, facility and road maintenance and trash collection. Campgrounds have begun closing due to sanitation concerns.\n\nAs the shutdown drags on, there will be a creeping paralysis, affecting everything from the Internal Revenue Service\'s ability to pay out tax refunds to rental assistance payments in public housing to whether the interior department can pay out treaty rights obligations to Indian tribes.\n\nThe fact it is a partial, not total, government shutdown has perhaps tempted Trump to make a political calculation that the pain is preferable to giving in - or being seen to give in - on his promise to build the wall. It is worth remembering how fundamental this was to his campaign, his political identity, perhaps even his psyche.\n\nOn the day he launched his unlikely run for president, descending an escalator at Trump Tower in New York, Trump declared: ""I would build a great wall, and nobody builds walls better than me, believe me, and I\'ll build them very inexpensively, I will build a great, great wall on our southern border. And I will have Mexico pay for that wall.""\n\nMexico rejected the idea but Trump repeated the promise in almost every speech and interview, insisting the estimated $23bn barrier is necessary to stem the flow of illegal immigrants and drugs into the US. For supporters and detractors alike, it became the ultimate symbol of his xenophobic vision of America.\n\nDemocrats\' victory in the House in the midterms election means the dream has probably slipped away, but Trump cannot afford to admit it. When, last month, the Republican-controlled Senate approved a stopgap measure to keep the government open, he was poised to sign it until rightwing talking heads complained that he was capitulating.\n\nIn that sense, it is not a Trump shutdown or Pelosi shutdown. It is a Rush Limbaugh shutdown, an Ann Coulter shutdown. Rightwing minority rule is now holding the country to ransom.\n\nFor their part, Pelosi and the Senate minority leader, Chuck Schumer, see no reason to impose a medieval solution on a 21st century problem. They are also aware that Democrats were elected in 2018 by voters eager to resist Trump in general and the wall in particular. To give an inch would be seen as a betrayal. Pelosi declared this week: ""How many more times can we say no? Nothing for the wall.""\n\nOn Friday, Trump and the Democratic leaders could not even agree whether their talks had gone well. Trump insisted the meeting had been ""very productive"", whereas Pelosi described the conversation as ""sometimes contentious"".\n\nAnd where, in all this, is Mitch McConnell? The Senate majority leader has been lurking on the sidelines, saying little other than that measures approved by the House are non-starters in the Senate without the president\'s support. The New York Times noted: ""By absenting himself, Mr McConnell had hoped to push the blame for a prolonged shutdown on to Democrats while protecting Republicans running for re-election in 2020 - including himself."" But with some Republicans becoming restless, it is not clear whether the strategy is sustainable.\n\nFor now, Trump has designated a working group led by Pence, and including his son-in-law Jared Kushner, to conduct more negotiations. But the stalemate looks set to overtake the longest shutdown on record: 21 days under Bill Clinton in 1996.\n\nThe president\'s best hope now is to turn the dispute to his advantage by using Democrats as a foil in the 2020 presidential election. The line of argument will be along the lines of: I wanted to give you a wall, but the Democrats denied me - and you. That is why, in the White House Rose Garden on Friday, he reiterated: ""I\'m very proud of doing what I\'m doing.""'"
2,b'The Guardian',b'http://www.theguardian.com/news/audio/2019/jan/11/who-will-pay-for-donald-trump-border-wall-podcast',"b""Donald Trump has visited the southern US border in Texas after walking out of talks to resolve one of the country's longest government shutdowns in history. The president has refused to authorise the release of funds to pay up to 800,000 government workers until he secures funding for his central campaign promise of a border wall.\n\nThe Guardian's US political correspondent, Lauren Gambino, joins Anushka Asthana to discuss the paralysis in the US government and why the president is so fixated on building his wall. And, as Trump tries to rally support in Texas, the Guardian's Bryan Mealer reports that there is indeed a crisis at the border, but one largely of the president's own making. Refugees and asylum seekers are facing appalling living conditions in detention centres struggling to cope with new arrivals.\n\nAlso today: the columnist John Harris looks back to 1989: a period of sudden transitions, revolutions, exciting new music and optimism for the future. Amid darkness and division in 2019, can the spirit of that age be revived?"""
3,b'Daily Mail Online',b'https://www.dailymail.co.uk/news/article-6521771/Im-getting-shut-Melania-flees-Washington-Mar-Lago-family-Christmas.html',"b""Her husband's administration was locked in yet another shut down standoff with Congress, but first lady Melania Trump taken off for Mar-a-Lago without him.\n\nPresident Donald Trump had to cancel his planned Friday departure for his luxury property in Florida after he walked away from a plan to fund the government and resumed demands to fund a border wall.\n\nBut the first lady isn't waiting around for lawmakers to agree on either a permanent or even a temporary funding solution.\n\nThe federal government will go into partial shutdown at midnight, unless a dramatic and unexpected action forces the Senate back into session.\n\n'It has long been the family's tradition to spend their Christmas holiday at Mar-a-Lago. Her plans to travel with her son to their Florida home for his winter break have not changed this year,' spokeswoman Stephanie Grisham said, CNN reported.\n\nMERRY CHRISTMAS! First Lady Melania Trump headed to Mar-a-Lago while her husband President Trump is marred in a government shutdown battle with Congress\n\nShe was en route Friday evening even as Trump son-in-law Jared Kushner\n\nThe president was planning for a 16-day getaway, which would have been his longest as president, but that does not appear to be happening.\n\nThe FAA cancelled its flight restrictions for the area Friday afternoon following President Trump's decision, the local CBS affiliate reported.\n\nThe White House has not offered official guidance on the president's holiday plans, but they are a badly kept secret inside of Palm Beach and Washington\n\nWEEKEND GETAWAY? President Donald Trump planned to spend 16 days over the holidays at his Mar-a-Lago estate in Florida over the holidays\n\nIT'S LONELY AT THE TOP: President Trump tweeted an image of himself alone at his desk after his wife took off for Mar-a-Lago\n\nPresident Trump, Melania Trump, and Barron Trump arrive in Florida for Thanksgiving\n\nPresident Trump could still fly to Florida at a later date\n\nThe Secret Service secures the area whenever Trump goes to Mar-a-Lago\n\nIt noted that a Trump aircraft was spotted on the tarmac at Palm Beach International Airport, suggesting other Trump family members may have gotten a jump on the family holiday tradition.\n\nEven before an apparent budget deal blew up, senior aides understood Trump would not be able to leave town with thousands furloughed and the government partly closed before Christmas.\n\n'I haven't talked with him about it. My understanding is that if there's a shutdown tomorrow that he'll still be here,' senior aide Stephen Miller, who helped pioneer Trump's hard-line immigration policies, told CNN Thursday.\n\nAn alert issued by the Federal Aviation Administration warns pilots to avoid the airspace over Mar-a-Lago from Dec. 21 to Jan. 6 but does not indicate when Air Force One will arrive or depart the Palm Beach International Airport, The Palm Beach Post reported.\n\nEven if he misses a day or two, the president could still find himself with plenty of time to golf, though the White House describes his trips as a working vacation."""
4,b'Daily Mail Online',b'https://www.dailymail.co.uk/news/article-6554305/If-Trump-caves-wall-funding-probably-end-presidency-says-Lindsey-Graham.html',"b'Republican Sen. Lindsey Graham is counseling President Trump to stand firm in his fight for a border barrier and warned Wednesday evening that capitulation would be the end of the first-term executive\'s presidency.\n\nAppearing on Fox News on Wednesday evening, Graham declared: \'If he gives in now, that\'s the end of 2019 in terms of him being an effective president.\n\n\'That\'s the probably the end of his presidency. Donald Trump has made a promise to the American people. He\'s going to secure our border,\' the senior senator said.\n\nRetreating on Trump\'s signature campaign promise would damage the Republican Party as a while, Graham advised colleagues on Capitol Hill who believe their leader should concede the issue to Democrats.\n\n\'That\'s the end of us if we give in on this issue as Republicans,\' he asserted.\n\nRepublican Sen. Lindsey Graham is counseling President Trump to stand firm in his fight for a border barrier and warned Wednesday evening that capitulation would be the end of the first-term executive\'s presidency\n\nGraham has the president\'s ear and visited the White House over the weekend, when the president remained in Washington to share in the pain of the government shutdown rather than party at his Palm Beach mansion with family and friends.\n\nHe told Fox that he doesn\'t believe the president is going to budge on his border security demands.\n\n\'He\'s not going to sign a bill that doesn\'t have money for the wall. I can tell you exactly how this is going to end. The president is going to challenge Democrats to compromise and if they continue to say no, they\'re going to pay the price with the American people,\' he asserted.\n\nCounselor to the president Kellyanne Conway similarly said on Thursday morning that Trump will only sign \'something that truly secures the border\' and a bill that Democrats plan to pass today as their first act in Congress does not do that.\n\n\'It doesn\'t reopen the government for homeland security,\' she claimed.\n\nOne bill funds closed areas of the government through the end of the current fiscal year. Its companion appropriates money to the Department of Homeland Security only until Feb. 8.\n\nDemocrats and their Republican counterparts came to the White House at the president\'s invitation on Wednesday afternoon for a border security briefing and negotiation in the Situation Room. The two sides left conversation angrily pointing the finger at one another for the partial government closure.\n\nConway claimed that soon-to-be House speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer were \'very rude and dismissive\' during the briefing conducted by the Homeland Security Secretary via satellite.\n\n\'That was really poor form, but the president has graciously invited them back here tomorrow,\' she said of the president\'s request that lawmakers return on Friday.\n\nCounselor to the president Kellyanne Conway similarly said on Thursday morning that Trump will only sign \'something that truly secures the border\' and a bill that Democrats plan to pass today as their first act in Congress does not do that\n\nDemocratic leaders left the White House on Wednesday unconvinced by the president\'s arguments that a border wall is necessary for national security.\n\nThey left a briefing on the border early, Republican leaders revealed, and interrupted and argued with Homeland Security Secretary Kirstjen Nielsen.\n\nThe meeting ended at an impasse, with the president inviting attendees back Friday for more talks after leadership elections have taken place. His White House believes that Pelosi will be more amenable to giving him the funds once she\'s formally elected speaker.\n\nSpeaking to NBC News, Pelosi said that will not be the case. \'We can go through the back and forth,\' she said in an interview that aired on Thursday morning. \'No. How many more times can we say no? Nothing for the wall.\'\n\n\'There is no amount of persuasion he can do to say to us, ""We want you to do something that is not effective, that costs billions of dollars."" That sends the wrong message about who we are as a country,\' she contended.\n\nDemocratic leaders left a White House meeting on Wednesday unconvinced by the president\'s arguments that a border wall is necessary for national security\n\nSpeaking to NBC News, Pelosi said that will not be the case. \'We can go through the back and forth,\' she said. \'No. How many more times can we say no? Nothing for the wall\'\n\nSchumer urged the president during a White House press conference to reconsider his own position on bills to reopen the government.\n\n\'At our last meeting the president said, I am going to shut the government down. They are now feeling the heat. It is not helping the president, it is not helping the Republicans to be the owners of this shutdown,\' he said.\n\n\'Today we gave them an opportunity to get out of that and open up the government as we debate border security, and to say to them, because he says he won\'t sign it, and use the government as hostage, and just give in, the American people don\'t want that, that\'s bad for our country.\'\n\nThe White House says a pair of bills that Democrats are backing that would end the shutdown are a \'non-starter\' because they do not fund the border wall.\n\nIncoming House Majority Whip Steny Hoyer said they would move forward with passing them, anyway. \'Because that is our responsibility, as a co-equal branch of government,\' he said.\n\n\'We want the president to open up government. We are giving him a Republican path to do that. Why would he not do it,\' he asked.\n\nDemocrats have proposed legislation that would fund every closed area through the end of the current fiscal year, except the Homeland Security department.\n\nA bill that Pelosi, the expected speaker of the House, will put on the floor Thursday extends funding for DHS until Feb. 8, providing Trump and the new Congress with an opportunity to continue talks while the government hums along.\n\nBefore she could gavel in the new legislative session, the White House deemed the strategy dead-on-arrival, indicating in a late-night statement that Trump is resolved to keep the government closed until Congress appropriates money for his border wall.\n\n\'The Pelosi plan is a non-starter because it does not fund our homeland security or keep American families safe from human trafficking, drugs, and crime,\' White House Press Secretary Sarah Sanders said.\n\nConway said that Trump shouldn\'t be faulted for the breakdown in talks, because he is at least open to a conversation.\n\n\'But this president, give him his due, he\'s willing to have him here,\' she said.\n\nTrump told Democrats in a meeting last month that he would be \'proud to oversee\' a shutdown but has since blamed the two-week closure on the opposing party.\n\n\'He doesn\'t own this shutdown any longer,\' Conway insisted.\n\nHouse Republicans passed a bill before the end of the last Congress, she argued, that provided roughly $5.7 bill all at once for the president\'s border wall. She said that it was the Senate, which has also passed a bill that Trump won\'t sign, that needs to do its job.\n\nThe Senate is still run by Republicans but their majority is too slim to pass legislation without the help of seven Democrats after today.\n\nConway said the shutdown cannot end with Democrats are \'harrumphing their way in the Situation Room\' as she contended they were on Wednesday.\n\n\'I hope that they\'ll get serious about negotiating,\' she concluded.'"
5,b'Daily Mail Online',b'https://www.dailymail.co.uk/news/article-6557611/Trump-U-S-lawmakers-huddle-border-wall-government-shutdown.html',"b""By Reuters and David Martosko, U.s. Political Editor For Dailymail.com\n\nAs a partial U.S. government shutdown hit the two-week mark, President Donald Trump and congressional leaders prepared to meet on Friday over ways to break an impasse pitting his demand for building a border wall against Democrats' call for alternative security measures.\n\nAbout 800,000 federal workers have been affected by the Dec. 22 closure of about one-quarter of the federal government as Trump withheld his support for new funding until he secures $5 billion to start building the wall along the U.S.-Mexico border that he promised during his campaign.\n\nSuch a wall, he has argued, is needed to stem the flow of illegal immigrants and drugs over the southwestern border. When he ran for president in 2016, he vowed Mexico would pay for the wall, which it has refused to do.\n\nOn Thursday, Trump tried to keep the pressure on Democrats, even as they gained significant new power with their takeover of the House of Representatives at the start of a new Congress.\n\nHouse Speaker Nancy Pelosi (left) will be among congressional leaders making a trip to the White House to negotiate with President Donald Trump (right) over funding for his long-promised border wall on Friday\n\n'Build the Wall,' the Republican president demanded on Twitter. In remarks to reporters that same day, Trump said: 'You can call it a barrier. You can call it whatever you want. But essentially, we need protection in our country.'\n\nAs Trump dug in, so did opposition Democrats, leaving many to wonder just how much progress might be made during Friday's White House meeting scheduled for 11:30 a.m.\n\n'We're not doing a wall,' Democrat Nancy Pelosi said late on Thursday, several hours after she was sworn in as the new speaker of the House of Representatives.\n\n'It has nothing to do with politics. It has to do with a wall is an immorality between countries. It's an old way of thinking. It isn't cost effective,' Pelosi added.\n\nAsked how much money she would authorize for the project in a Democrat-led spending package to reopen parts of the government that have been closed for nearly two weeks, she replied: 'One dollar.'\n\nLate on Thursday, the House passed two Democratic bills to immediately reopen government agencies for varying lengths of time, despite a White House veto threat.\n\nEarlier in the day, Republican Senate Majority Leader Mitch McConnell labeled the House effort 'political theater, not productive lawmaking,' that the president would not sign into law, although the Senate last month approved identical legislation.\n\nTrump has dug in his heels on funding for a wall, boasting to his supporters that he's not bending to Democrats' demands\n\nBut McConnell faces increasing pressure from within his caucus, especially from vulnerable Republicans up for re-election in 2020, as several conservative senators urged action to reopen the government, according to media reports.\n\n'We should pass a continuing resolution to get the government back open. The Senate has done it last Congress, we should do it again today,' U.S. Senator Cory Gardner told The Hill on Thursday. His colleague Susan Collins also called for the Senate to pass the funding bills, while several other Republicans also urged an end to the shutdown, The Hill and The New York Times reported.\n\nVice President Mike Pence, in a television interview Thursday night, also suggested that in exchange for the wall, the White House could work with Democrats on so-called Dreamer immigrants who were brought to the United States illegally as children -- an idea Trump had rejected on Wednesday.\n\n'It's being talked about,' Pence told Fox News.\n\nDemocrats back other border security measures aside from the wall, and their two-bill package passed Thursday includes $1.3 billion for border fencing and $300 million for other border security items such as technology and cameras.\n\nWithout a deal to end the partial government shutdown, the Department of Homeland Security will not be able to bring some furloughed workers back to their jobs while others continue to be forced to work without paychecks for the time being.\n\nOther federal agencies were also hobbled, including the Justice Department, Commerce Department and departments of Agriculture, Labor, Interior and Treasury.\n\nAdditionally, the partial shutdown was straining the country's immigration system, worsening backlogs in courts and complicating hiring for employers.\n\nVisitors to Smithsonian museums, among Washington's most popular tourist attractions, were being turned away during the shutdown, as were visitors to many of the nation's federal parks."""
6,b'Daily Mail Online',b'https://www.dailymail.co.uk/news/article-6550507/Trump-claims-remains-ready-willing-work-Democrats-sides-remain-impasse.html',"b""President Donald Trump on Wednesday claimed he is 'ready and willing' to work with Democrats to end the partial government shutdown as both sides remain at an impasse after a briefing at the White House.\n\n'Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work together to pass a Funding Bill that protects this Nation and its people - this is the first and most important duty of government...,' Trump tweeted Wednesday evening.\n\nHe added: '...I remain ready and willing to work with Democrats to pass a bill that secures our borders, supports the agents and officers on the ground, and keeps America Safe. Let's get it done!'\n\nPresident Donald Trump claimed he is 'ready and willing' to work with Democrats to end the partial government shutdown\n\nTrump tweeted his willingness to work with Democrats as both sides remain at an impasse\n\nTrump and Congressional leaders met at the White House on Wednesday\n\nCongressional leaders from both sides of the aisle emerged from a meeting at the White House earlier in the day with no details on how or when the shutdown may end.\n\nThe president invited everyone back on Friday to reconvene.\n\nSenate Republican Leader Mitch McConnell admitted no progress was made as the shut down hit day 12.\n\nAnd, he conceded, it could continue for 'weeks.'\n\n'We had a good discussion. Obviously the border security issue - I don't think any particular progress was made today. But we talked about all aspects of it and it was a civil discussion. And we're hopeful that somehow in the coming days and weeks we'll be able to reach an agreement,' he told reporters upon returning to the Capitol on Wednesday afternoon.\n\nThe impasse remains at funding for Trump's wall on the almost 2,000 mile U.S.-Mexico border.\n\nDemocrats are holding firm in their position that they will not give Trump the $5 billion he needs to build it.\n\n'We can go through the back and forth,' incoming Speaker Nancy Pelosi told NBC News. 'No. How many more times can we say no? Nothing for the wall.'\n\nThe blame game has begun.\n\nHouse Republican leader Kevin McCarthy put the ball in Democrats' court.\n\n'We never did get through the complete briefing,' McCarthy said at the White House after the event, which was led by Homeland Security Secretary Kirstjen Nielsen. 'I was a little disappointed with some on the other side. Once the secretary started, Senator Schumer interrupted her and they really didn't want to hear it.'\n\nAnd he told reporters at the Capitol no negotiations were held during their sit down at the White House.\n\n'They were pretty much on script,' he said of Democrats.\n\nSenate Democratic Leader Chuck Schumer shot the blame right back.\n\n'At our last meeting the president said, I am going to shut the government down. They are now feeling the heat. It is not helping the president, it is not helping the Republicans to be the owners of this shutdown,' he said.\n\nThe president is holding firm too.\n\nIn his remarks during a Cabinet meeting before he sat down with Congressional leaders, Trump refused to say whether he would sign a government funding bill if he received less than his $5 billion request to fund his border wall.\n\n'Could we do it for a little bit less? It's so insignificant compared to what we're talking about. You know, I've heard numbers as high as $275 billion we lose on illegal immigration,' Trump said. 'The $5 billion approved by the House is such a small amount compared to the level of the problem.'\n\nThere had been reports the White House had come down $2.5 billion and would accept legislation with that number.\n\nBut Trump shot that down.\n\nHouse Democrats on Thursday - led by incoming Speaker Nancy Pelosi (center) with Steny Hoyer (left) and Chuck Schumer (right) at the White House - will introduce two bills to reopen the government\n\nThe blame game has begun with House Republican Leader Kevin McCarthy (left) with Steve Scalise (right) blaming Democrats\n\n'No, not $2.5 (billion), no. We're asking for $5.6 (billion) and somebody said $2.5 (billion),' he said.\n\nDemocrats are holding fast to their own position - the $1.3 billion they've allocated.\n\nThat is the position all have been in since the shut down started on Dec. 21.\n\nNegotiations went no where during the holidays and Wednesday's meeting with the first time the main players were all in one room since the shut down began.\n\nThe lawmakers who attended the meeting included Pelosi, incoming House Majority Leader Steny Hoyer, McCarthy, and incoming House Minority Whip Steve Scalise. Those attending from the Senate include Schumer, McConnell, incoming Senate Majority Whip John Thune, and Senate Minority Whip Dick Durbin.\n\nThe White House says a pair of bills that Democrats are backing that would end the shutdown are a 'non-starter' because they do not fund the border wall.\n\nThe two-part plan from House Democrats would fund the Department of Homeland Security until Feb. 8 and fund all other closed departments - such as Justice, Interior, Transportation, Commerce and Agriculture - for the rest of the fiscal year through Sept. 30.\n\nSenate Republican Leader Mitch McConnell said no progress was made and the shut down could last weeks\n\nNancy Pelosi will become Speaker of the House on Thursday when she pushes a plan to reopen the government\n\nThey will bring those bills up for a vote on Thursday when they take control of the House and hope passage in the lower chamber will pressure the Senate to follow suit.\n\nAn estimated 380,000 federal employees in those departments have been furloughed and another 420,000 will have to work without pay. The clock is ticking to Jan. 11 - the first pay period for those workers that will encompass the entire time period of the shutdown.\n\nThe Democrats' proposal would allow the debate over wall funding to continue without tying the rest of the government to it. Wall money is appropriated through the Department of Homeland Security.\n\nThe six bills to fund the other departments have bipartisan support in both chambers but have been held up over the dispute over funding Trump's wall.\n\nA spokesman for Senate Majority Leader Mitch McConnell said Monday that the chamber wouldn't take up legislation without public support from the president.\n\n'It's simple: The Senate is not going to send something to the President that he won't sign,' said Don Stewart, a spokesman for McConnell.\n\nThe partial government shutdown began December 22 after Trump bowed to conservative demands that he fight to make good on his pledge to build the wall.\n\nHe pushed House Republicans to vote on the matter before they lost control of the lower chamber. And while it passed in the House it failed in the Senate where Republicans don't have enough votes to pass it without Democratic support."""
7,b'Daily Mail Online',b'https://www.dailymail.co.uk/news/article-6558741/IRS-demands-pay-taxes-government-shutdown-NOT-send-refunds.html',"b""The Internal Revenue Service still expects taxpayers to pay what they owe on time - but the partial government shutdown may significantly delay refunds.\n\nSince the shutdown began on December 22, IRS has been operating on a shutdown plan that it uses outside of the tax-filing season, which doesn't fund the processing of tax refunds.\n\nThe shutdown plan cuts staffing at the IRS by 88 per cent, and the agency will not conduct audits or answer taxpayer questions under the current shutdown plan.\n\nWith the advent of tax season, the Treasury Department is expected to issue a revised shutdown plan soon, but it is unclear whether it will allow for the processing of refunds, an IRS source told DailyMail.com.\n\nThe partial government shutdown may significantly delay tax refunds from the IRS. Pictured: a man reviews his tax filings in a stock image\n\nTax filing season begins in mid-January, and returns are due to the IRS by April 15 -raising the possibility that the shutdown could hit taxpayers who are depending on a speedy refund.\n\nThe shutdown, now nearing two weeks, could go on for 'months or even years', Democratic Senate Leader Chuck Schumer said on Friday, after meeting with President Donald Trump.\n\n'We're in uncharted territory as each day gets longer,' Mark Steber, chief tax officer at Jackson Hewitt Tax Service, told the Wall Street Journal, which first reported on the refund issue.\n\nTypically, lower-income taxpayers who have no federal tax liability file their tax returns as soon as possible in January, and expect to receive refunds by February.\n\nTax filing season begins in mid-January, and returns are due to the IRS by April 15, raising the possibility that tax refunds could be delayed. The IRS headquarters in DC is seen above\n\nThe shutdown could hit those taxpayers the hardest unless it is resolved quickly.\n\nThose who owe taxes usually delay filing until the April 15 deadline, and wealthier taxpayers with more complicated returns often take an extension.\n\nAcross the federal government, about 800,000 federal workers have been unpaid as Trump withholds his support for a bill which would fund the government until he secures the money for the wall that he promised during his election campaign.\n\nTrump, who wants $5 billion in funding for the wall, has said it is needed to stem the flow of illegal immigrants and drugs over the border."""
8,b'Reuters',b'https://www.reuters.com/article/usa-shutdown-wall-idUSL1N1Z41LE',"b'(New throughout, adds details and background about government shutdown, talks between Trump and Democrats)\n\nWASHINGTON, Jan 4 (Reuters) - President Donald Trump said on Friday he could use emergency powers to build a wall on the U.S.-Mexico border without Congress\' approval, threatening to bypass Democratic lawmakers emboldened by their recent takeover of the House of Representatives.\n\nA showdown between Trump and Congressional Democrats over funding for his wall project has led to a two-week government shutdown. Trump says he will not support a bill to fully fund the government until he secures the money for the wall.\n\nAsked whether he had considered declaring a national emergency to build the wall, Trump said: ""Yes, I have. ... We can do it. I haven\'t done it. I may do it ... But we can call a national emergency and build it very quickly.""\n\nThe comments come just a day after Democrats, led by Nancy Pelosi, took charge of the House, ushering in an era of divided government two years into Trump\'s term.\n\nIn sometimes combative talks on Friday, Trump, Pelosi and Senate Democratic Leader Chuck Schumer failed to strike a deal to end the partial shutdown as they fought over Trump\'s request for $5 billion to fund the wall.\n\nThe U.S. Constitution assigns Congress the power over funding the federal government, so Trump would likely face legal challenges if he tried to bypass Congress on financing the wall.\n\nHe dismissed those concerns in a news briefing at the White House.\n\n""We can call a national emergency because of the security of our country, absolutely,"" he said. Asked if declaring a national emergency was a threat hanging over Democrats, Trump said, ""I\'d never threaten anybody, but I am allowed to do that, yes."" (Reporting by Alexandra Alper Editing by Leslie Adler and David Gregorio)'"
9,b'Reuters',b'https://www.reuters.com/article/us-usa-shutdown-wall-idUSKCN1OY1VK',"b'WASHINGTON (Reuters) - President Donald Trump said on Friday he could use emergency powers to build a wall on the U.S.-Mexico border without Congress\' approval, threatening to bypass Democratic lawmakers emboldened by their recent takeover of the House of Representatives.\n\nA showdown between Trump and Congressional Democrats over funding for his wall project has led to a two-week government shutdown. Trump says he will not support a bill to fully fund the government until he secures the money for the wall.\n\nAsked whether he had considered declaring a national emergency to build the wall, Trump said: ""Yes, I have. ... We can do it. I haven\'t done it. I may do it ... But we can call a national emergency and build it very quickly.""\n\nThe comments come just a day after Democrats, led by Nancy Pelosi, took charge of the House, ushering in an era of divided government two years into Trump\'s term.\n\nIn sometimes combative talks on Friday, Trump, Pelosi and Senate Democratic Leader Chuck Schumer failed to strike a deal to end the partial shutdown as they fought over Trump\'s request for $5 billion to fund the wall.\n\nThe U.S. Constitution assigns Congress the power over funding the federal government, so Trump would likely face legal challenges if he tried to bypass Congress on financing the wall.\n\nHe dismissed those concerns in a news briefing at the White House.\n\n""We can call a national emergency because of the security of our country, absolutely,"" he said. Asked if declaring a national emergency was a threat hanging over Democrats, Trump said, ""I\'d never threaten anybody, but I am allowed to do that, yes.""'"
